video_id,title,channel_title,views,likes,dislikes,comment_total
XpVt6Z1Gjjo,1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!,Logan Paul Vlogs,4394029,320053,5931,46245
K4wEI5zhHB0,iPhone X — Introducing iPhone X — Apple,Apple,7860119,185853,26679,0
cLdxuaxaQwc,My Response,PewDiePie,5845909,576597,39774,170708
WYYvHb03Eog,Apple iPhone X first look,The Verge,2642103,24975,4542,12829
sjlHnJvXdQs,iPhone X (parody),jacksfilms,1168130,96666,568,6666
cMKX2tE5Luk,The Disaster Artist | Official Trailer HD | A24,A24,1311445,34507,544,3040
8wNr-NQImFg,"The Check In: HUD, Ben Carson and Hurricanes",Late Night with Seth Meyers,666169,9985,297,1071
_HTXMhKWqnA,iPhone X Impressions & Hands On!,Marques Brownlee,1728614,74062,2180,15297
_ANP3HR1jsM,ATTACKED BY A POLICE DOG!!,RomanAtwoodVlogs,1338533,69687,678,5643
zgLtEob6X-Q,Honest Trailers - The Mummy (2017),Screen Junkies,1056891,29943,878,4046
Ayb_2qbZHm4,Honest College Tour,CollegeHumor,859289,34485,726,1914
CsdzflTXBVQ,Best Floyd Mayweather Interview | Awkward Puppets,Awkward Puppets,452477,28050,405,2745
l864IBj7cgw,Jennifer Lawrence Challenges Jimmy to an Axe Throwing Contest,The Tonight Show Starring Jimmy Fallon,258781,8085,303,726
4MkC65emkG4,Hand In Hand A Benefit For Hurricane Relief | MTV,MTV,274358,9215,477,838
vu_9muoxT50,Colin Cloud: Mind Reader Predicts Your Tweets - America's Got Talent 2017,America's Got Talent,473691,14740,415,1696
1L7JFN7tQLs,iPhone X Hands on - Everything you need to know,Jonathan Morrison,514972,18936,641,3817
ZQK1F0wz6z4,What Do You Want to Eat?!,Wong Fu Productions,282858,14870,300,1398
T_PuZBdT2iM,getting into a conversation in a language you don't actually speak that well,ProZD,1582683,65749,1531,3598
w8fAellnPns,Juicy Chicken Breast - You Suck at Cooking (episode 65),You Suck At Cooking,479951,23945,640,1941
UCrBICYM0yM,Downsizing (2017) - Official Trailer - Paramount Pictures,Paramount Pictures,2693468,7941,302,1432
-Ifnaxi2LQg,Fergie - You Already Know ft. Nicki Minaj,FergieVEVO,815608,66420,3578,5550
B7YaMkCl3XA,Hurricane Irma death toll rises to 10 in Cuba,Al Jazeera English,382525,1521,270,1168
5ywKal6-anc,"Gigi Hadid Loses High Heel During Fashion Week, Walks It Off Like a Pro | TMZ",TMZ,703750,2921,2196,1042
4Yue-q9Jdbk,SUPERFRUIT REACTS TO TEENS REACT TO SUPERFRUIT,SUPERFRUIT,255967,21817,293,2017
JhA1Wi9mrns,Kid Rock - Tennessee Mountain Top [Lyrics],Kid Rock,96872,3498,482,439
EVp4-qjWVJE,Chargers vs. Broncos | NFL Week 1 Game Highlights,NFL,743947,6126,352,2438
LcZ2AuvxXNA,Nerf Bow Trick Shots | Dude Perfect,Dude Perfect,10535242,384920,7550,23855
MdzGZv3zQ-U,"Action Bronson and Sean Evans Have a Sandwich Showdown, Judged by Mario Batali | Sean in the Wild",First We Feast,483360,16258,245,1588
1ZNZY-gd3K0,Joe Arpaio: Last Week Tonight with John Oliver (HBO),LastWeekTonight,3298456,65730,4360,9504
2wxyDrfwlXQ,What's In This 90s Mystery Caboodle?,grav3yardgirl,321297,15424,280,3317
QBGaO89cBMI,Radiohead - Lift,Radiohead,752844,42290,359,3250
ql0Op1VcELw,What's Actually the Plane of the Future,Wendover Productions,602127,19575,658,2510
JO7X9ZPoAp8,Blind People Describe Beauty,WatchCut Video,136643,6218,127,524
GGm0FQ6i74U,What Hillary Clinton really thinks,Vox,244433,9143,6826,4838
a7Sf_H2cFdM,Drowning for Power - Rooster Teeth Animated Adventures,Rooster Teeth,917643,25456,731,1073
oDIDZ9EmQfA,Jumping Through Impossible Shapes!,Rclbeauty101,796896,39791,1252,3868
zAtHxJvSczA,Does Maggie Gyllenhaal Have Taylor Swift’s Scarf? | WWHL,Watch What Happens Live with Andy Cohen,2932,71,3,15
l_uNfGY3v8E,"From the air, Irma's catastrophic wrath is undeniable",USA TODAY,224532,490,772,597
Rew50oYjRqA,FALL MAKEUP TUTORIAL | Talk  Through Tutorial | Casey Holmes,Casey Holmes,246389,15314,247,1842
WWexI9YiLSc,The Commuter Teaser Trailer #1 (2018) | Movieclips Trailers,Movieclips Trailers,165647,3712,142,524
