videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
puqaWrEC7tY,"Songs in this video<br><br><a href=""https://www.youtube.com/watch?v=puqaWrEC7tY&amp;t=1m02s"">1:02</a>-<a href=""https://www.youtube.com/watch?v=puqaWrEC7tY&amp;t=1m45s"">1:45</a> Rockstar<br><br><a href=""https://www.youtube.com/watch?v=puqaWrEC7tY&amp;t=3m59s"">3:59</a>-<a href=""https://www.youtube.com/watch?v=puqaWrEC7tY&amp;t=4m39s"">4:39</a> Where Do I Hide<br><br><a href=""https://www.youtube.com/watch?v=puqaWrEC7tY&amp;t=5m23s"">5:23</a>-<a href=""https://www.youtube.com/watch?v=puqaWrEC7tY&amp;t=6m12s"">6:12</a> See You At The Show<br><br>By Nickelback","Songs in this video

1:02-1:45 Rockstar

3:59-4:39 Where Do I Hide

5:23-6:12 See You At The Show

By Nickelback",Julia White-Pigeon,https://yt3.ggpht.com/ytc/AGIKgqMSc4yzw8kjdg9bC0UwNpVptBwthmjsAumDBCqPXdauJItnIrdXWSl8cDI3cfPV=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCooKpq5A1DnCIWhctBFonaw,{'value': 'UCooKpq5A1DnCIWhctBFonaw'},True,none,2,2022-09-05T02:01:58Z,2022-09-05T02:01:58Z,,Ugw4x_NRg7zQGhjyl-N4AaABAg
puqaWrEC7tY,"Not a Nickleback fan, but the world needs to chill on them. They&#39;re alright.","Not a Nickleback fan, but the world needs to chill on them. They're alright.",Taylor The Hater,https://yt3.ggpht.com/x_LJieSYPq3JxRrLwSOiQRFkT2AX-ccqDhB1_QxACN8G9DGJtpTIkuAhh8B1zWgiCOR0p9ZCgQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC5pkzy9tDPFtfGf2AZSk8CQ,{'value': 'UC5pkzy9tDPFtfGf2AZSk8CQ'},True,none,3,2022-02-11T04:15:13Z,2022-02-11T04:15:13Z,,UgzyRlj1yRp1BOobXtB4AaABAg
puqaWrEC7tY,"Got a criminal record.<br>Yes, NO!!<br>LMAO","Got a criminal record.
Yes, NO!!
LMAO",Bam Brenda,https://yt3.ggpht.com/m1Ib4I7Q1gw5nzSVMeCDd4ERnDuATeQs8Mqo7EUq53DAstnkdqImnmJmiedh_RqcAvutYBs7=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCotrA6plM-9fqYQnjweD4Xg,{'value': 'UCotrA6plM-9fqYQnjweD4Xg'},True,none,1,2021-12-22T00:22:57Z,2021-12-22T00:22:57Z,,UgwFiLPa5w1Xh_LKk9N4AaABAg
puqaWrEC7tY,Love how Link is just happy to listen to them,Love how Link is just happy to listen to them,Nightmare Hour,https://yt3.ggpht.com/wP96YtgVQuV0vaS5Kzq6MnT7Wm44DTFYxLBBu-fn2y_wRegxtx0ZoVqp9S75vfRjqD-1pr2nSA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCobKfkggftEKBKlV6meb4kQ,{'value': 'UCobKfkggftEKBKlV6meb4kQ'},True,none,1,2021-11-13T03:39:32Z,2021-11-13T03:39:32Z,,UgwpEcOmChZOYTJxLRx4AaABAg
puqaWrEC7tY,love me some nickelback!!,love me some nickelback!!,chey cat,https://yt3.ggpht.com/ytc/AGIKgqPoZGTuy70QB8M1IKvhwxRoEeR5bSr-voQZcw8lEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCiETEyeTAoW4n37oASw55Pw,{'value': 'UCiETEyeTAoW4n37oASw55Pw'},True,none,0,2021-04-16T17:44:44Z,2021-04-16T17:44:44Z,,UgxAAwf4lJ3H1XWm2yd4AaABAg
puqaWrEC7tY,The title to this game is easily the best title y’all have come up with.,The title to this game is easily the best title y’all have come up with.,J. Gee,https://yt3.ggpht.com/ytc/AGIKgqP9M40Ma6Gk5KBMjtvsFupwTQrDLzAf-qZ5N9ybVQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC81UYM6-xlEtM_Ubau72s4Q,{'value': 'UC81UYM6-xlEtM_Ubau72s4Q'},True,none,0,2021-02-03T03:07:05Z,2021-02-03T03:07:05Z,,UgwZLzJK5MRj-grqlzt4AaABAg
puqaWrEC7tY,"<a href=""https://www.youtube.com/watch?v=puqaWrEC7tY&amp;t=4m00s"">4:00</a> link got something to tell us??",4:00 link got something to tell us??,Sage,https://yt3.ggpht.com/6OoVThuX7PFeNkqm1RMgcG4FcV9Ln6LT2HKrIXNXol19e2DJJJOCFaw_79lczZNrftp057yz=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZwQ6uS9h4IU5YiGMwz9OSw,{'value': 'UCZwQ6uS9h4IU5YiGMwz9OSw'},True,none,0,2020-12-20T20:27:48Z,2020-12-20T20:27:48Z,,UgxGEFUFfOmW2FeJAxJ4AaABAg
puqaWrEC7tY,I quite like Nickelback. I will happily sing along.,I quite like Nickelback. I will happily sing along.,Sophie Grace,https://yt3.ggpht.com/ytc/AGIKgqOeiOhXvDONOzelPlMjajccL_NJG-PMCjuwCI07gw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCC0lYWEoMzEkaxS_czHziIQ,{'value': 'UCC0lYWEoMzEkaxS_czHziIQ'},True,none,0,2020-09-21T14:04:01Z,2020-09-21T14:04:38Z,,Ugwg9RzjbC-VX5Zm0Nd4AaABAg
puqaWrEC7tY,I have a confession<br><br><br><br><br><br><br>I like nickelback,"I have a confession






I like nickelback",Zombiezarr Zar,https://yt3.ggpht.com/ytc/AGIKgqNsOoLtYYQn5OitJSZg2QUiRi7oG197GBM5yA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDpf6jKZNIgcV3EhOsQxuKw,{'value': 'UCDpf6jKZNIgcV3EhOsQxuKw'},True,none,2,2020-08-27T06:09:56Z,2020-08-27T06:09:56Z,,Ugz7nnCFnuU_iMZzrbB4AaABAg
puqaWrEC7tY,I actually like nickleback. Haha.,I actually like nickleback. Haha.,toFELIPwithLove,https://yt3.ggpht.com/Q_YvQ2WbFCih-PCpQtXCK61nKObIf6EMZZ7kYmdb4XpqIX8kq5-F9hN5d1HhSPqkYivD4ek2fR0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCJjgQU6SZY28DAlZfGi-ZEg,{'value': 'UCJjgQU6SZY28DAlZfGi-ZEg'},True,none,0,2020-08-25T04:18:58Z,2020-08-25T04:18:58Z,,Ugy8VmEdMBv0LIux8914AaABAg
puqaWrEC7tY,I love Nickelback,I love Nickelback,Caitlin Acors,https://yt3.ggpht.com/ytc/AGIKgqOAtlNK4xt2PnsF2g1VgG_hnS0GfJvfUdYfsA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgrSmQgKENMztSX0toyTaPQ,{'value': 'UCgrSmQgKENMztSX0toyTaPQ'},True,none,0,2020-07-07T03:35:07Z,2020-07-07T03:35:07Z,,UgzSSZAQ58q2dEpfoqt4AaABAg
puqaWrEC7tY,Gonna say this. Im a nickelback fan.,Gonna say this. Im a nickelback fan.,Flamecrew9 At roblox,https://yt3.ggpht.com/ytc/AGIKgqMvVhGecC2iZO3xK_kKXVtrxhYdaXPc2XhnxS0o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCS6ia_hz5IMMRhOz-yaaeOA,{'value': 'UCS6ia_hz5IMMRhOz-yaaeOA'},True,none,0,2020-05-06T12:34:09Z,2020-05-06T12:34:09Z,,UgyM-kSn9DDVJmAMTvF4AaABAg
puqaWrEC7tY,I’m Sad That Doug Judy Left :( probably has to steal some cars :/,I’m Sad That Doug Judy Left :( probably has to steal some cars :/,Stars Magic Alien,https://yt3.ggpht.com/ytc/AGIKgqNtgdvM4oMTL7pwe8ZgT9_15iuIJfO8VFePOPZl=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC-NL4hY1RdQUKQayGYR6foQ,{'value': 'UC-NL4hY1RdQUKQayGYR6foQ'},True,none,2,2020-04-12T20:45:17Z,2020-04-12T20:45:17Z,,UgybnGXPCYsdJlz_o_d4AaABAg
puqaWrEC7tY,Linkelback,Linkelback,Navid,https://yt3.ggpht.com/hKZQPNx4eX6UIrsqWto6WXk_tiTtyOuxE1RNin9oDB0zP6ugqGu0MSqcoBLNKWcC6uYsPHnjJw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC7C74UzIGAHgncW0BPJq8PQ,{'value': 'UC7C74UzIGAHgncW0BPJq8PQ'},True,none,0,2020-02-09T16:09:21Z,2020-02-09T16:09:21Z,,UgxM2LbE8HRZD79E3054AaABAg
