video_id,views,likes,dislikes,comment_total,compound_score
XpVt6Z1Gjjo,4394029,320053,5931,46245,0.1053207499999999
cLdxuaxaQwc,5845909,576597,39774,170708,-0.0107732165206508
WYYvHb03Eog,2642103,24975,4542,12829,0.0845034999999998
sjlHnJvXdQs,1168130,96666,568,6666,0.1671403749999998
cMKX2tE5Luk,1311445,34507,544,3040,0.2004779999999997
8wNr-NQImFg,666169,9985,297,1071,0.04948175
_HTXMhKWqnA,1728614,74062,2180,15297,0.0997257499999999
_ANP3HR1jsM,1338533,69687,678,5643,0.2126711422845689
zgLtEob6X-Q,1056891,29943,878,4046,0.1567914285714288
Ayb_2qbZHm4,859289,34485,726,1914,0.1761389999999998
CsdzflTXBVQ,452477,28050,405,2745,0.2261897142857142
l864IBj7cgw,258781,8085,303,726,0.0225715
4MkC65emkG4,274358,9215,477,838,0.1242562857142855
vu_9muoxT50,473691,14740,415,1696,0.164236
1L7JFN7tQLs,514972,18936,641,3817,0.1896881428571426
ZQK1F0wz6z4,282858,14870,300,1398,0.1801071530758227
T_PuZBdT2iM,1582683,65749,1531,3598,0.0828787999999999
w8fAellnPns,479951,23945,640,1941,0.1218181999999999
UCrBICYM0yM,2693468,7941,302,1432,0.0686368
-Ifnaxi2LQg,815608,66420,3578,5550,0.1856332857142854
B7YaMkCl3XA,382525,1521,270,1168,0.0052685618729097
5ywKal6-anc,703750,2921,2196,1042,0.058292
4Yue-q9Jdbk,255967,21817,293,2017,0.2889687999999997
JhA1Wi9mrns,96872,3498,482,439,0.1776094999999998
EVp4-qjWVJE,743947,6126,352,2438,0.1141735
LcZ2AuvxXNA,10535242,384920,7550,23855,0.1892701999999999
MdzGZv3zQ-U,483360,16258,245,1588,0.1408989999999999
1ZNZY-gd3K0,3298456,65730,4360,9504,-0.113636
2wxyDrfwlXQ,321297,15424,280,3317,0.3459756666666667
QBGaO89cBMI,752844,42290,359,3250,0.1474269999999999
ql0Op1VcELw,602127,19575,658,2510,0.1497601999999998
JO7X9ZPoAp8,136643,6218,127,524,0.2171307999999998
GGm0FQ6i74U,244433,9143,6826,4838,0.0255759999999999
a7Sf_H2cFdM,917643,25456,731,1073,0.2125993311036788
oDIDZ9EmQfA,796896,39791,1252,3868,0.2314899999999998
zAtHxJvSczA,2932,71,3,15,0.2033093841642229
l_uNfGY3v8E,224532,490,772,597,-0.1385369999999999
Rew50oYjRqA,246389,15314,247,1842,0.5103740000000001
WWexI9YiLSc,165647,3712,142,524,0.0945046666666667
LDcm6twPEJA,162818,9531,416,1079,0.017817
O78Lpo4ctSE,163656,19183,137,2154,0.4004065
qJJHhVf3_ZM,220661,2070,449,352,-0.071753
3yoGE3v4A8w,142039,9889,130,1224,0.4530315000000002
zTjcPeb2Gwg,807779,26521,522,5996,0.3952006666666667
hQbeB0YXLhs,1936893,74587,1060,6558,0.6181983333333337
L3f7_y9UPh4,279903,4389,138,338,0.4093459999999996
6vGg-jJl30A,185541,12179,115,827,0.5498004999999999
9CILSvf1snQ,27794,1692,34,174,0.4298956521739132
WoPtuVbaSKQ,315347,19538,204,3172,0.3489089999999998
